"protein","OR","OR_lower","OR_upper","log_OR","SE","p_value","n_samples","p_adjusted"
"Protein_13",1.06268386532048,1.03568340846493,1.09038822904994,0.060797656558456,0.0131309299105537,3.65470631959708e-06,80,0.000105884774823587
"Protein_8",1.05052354894662,1.02868926410174,1.07282127402687,0.0492886579451576,0.0107161281455981,4.2353909929435e-06,80,0.000105884774823587
"Protein_3",1.05290328811671,1.02871337684031,1.07766201848378,0.0515513847902352,0.0118586424379797,1.3791327492809e-05,80,0.000229855458213483
"Protein_5",1.04230996312246,1.02156696532596,1.0634741491251,0.0414393685032704,0.01025614738859,5.33505619241965e-05,80,0.000666882024052456
"Protein_2",1.0447504141438,1.02170094877625,1.06831987301275,0.043778018750503,0.0113824456401126,0.000120013031652413,80,0.00120013031652413
"Protein_21",1.03781575277307,1.01794271704577,1.05807676470218,0.0371182668429229,0.00986478350769864,0.000168085658908402,80,0.00140071382423668
"Protein_1",1.03742065272544,1.01589362984933,1.0594038382354,0.0367374908972445,0.0106985854931252,0.000595041985969563,80,0.00425029989978259
"Protein_28",1.02219162526727,1.00052291707475,1.04432962097607,0.0219489744670535,0.0109319325430456,0.0446661018028355,80,0.257672622070869
"Protein_50",0.979606808873606,0.959946644407795,0.999669622871111,-0.0206040032610631,0.0103438490225041,0.0463810719727565,80,0.257672622070869
"Protein_16",1.0192535346884,0.997970525376904,1.04099043163869,0.0190705306419455,0.0107665587764235,0.0765150714829963,80,0.382575357414982
